Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Mid Ulster,7,150,Patsy,MCGLONE,1,23,Social Democratic and Labour Party,,mid-ulster,M
Mid Ulster,7,151,Ian,MILNE,1,24,Sinn Fein,,mid-ulster,M
Mid Ulster,7,152,Michelle,ONEILL,1,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,153,Sandra,OVEREND,1,26,Ulster Unionist Party,,mid-ulster,F
Mid Ulster,7,154,Hugh,SCULLION,0,998,Workers Party,,mid-ulster,M
Mid Ulster,7,155,Stefan,TAYLOR,0,111,Green Party,,mid-ulster,M
Newry and Armagh,8,156,Paul,BERRY ,0,21,Independent,,newry-armagh,M
Newry and Armagh,8,157,Cathal Damian,BOYLAN,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,158,Emmet,CROSSAN,0,993,Cannabis Is Safer Than Alcohol,,newry-armagh,M
Newry and Armagh,8,159,Megan,FEARON,1,24,Sinn Fein,,newry-armagh,F
Newry and Armagh,8,160,William George,IRWIN,1,20,Democratic Unionist Party,,newry-armagh,M
Newry and Armagh,8,161,Danny,KENNEDY,1,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,162,Alan,LOVE,0,689,UK Independence Party,,newry-armagh,M
Newry and Armagh,8,163,Martin,MCALLISTER,0,21,Independent,,newry-armagh,M
Newry and Armagh,8,164,Karen,MCKEVITT,1,23,Social Democratic and Labour Party,,newry-armagh,F
Newry and Armagh,8,165,Justin,MCNULTY,0,23,Social Democratic and Labour Party,,newry-armagh,M
Newry and Armagh,8,166,Conor,MURPHY,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,167,Sam,NICHOLSON,0,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,168,Michael,WATTERS,0,111,Green Party,,newry-armagh,M
Newry and Armagh,8,169,Craig,WEIR,0,19,Alliance Party,,newry-armagh,M
North Antrim,9,170,Jim,ALLISTER,1,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,171,Donna,ANDERSON,0,689,UK Independence Party,,north-antrim,F
North Antrim,9,172,Jenny,BRESLIN,0,111,Green Party,,north-antrim,F
North Antrim,9,173,Connor,DUNCAN,0,23,Social Democratic and Labour Party,,north-antrim,M
North Antrim,9,174,Paul,FREW,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,175,Timothy,GASTON,0,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,176,Kathryn,JOHNSTON,0,989,NI Labour Representation Committee,,north-antrim,F
